city,city_id
Hưng Yên- Bắc Ninh- Hà Nội,153
Bắc Ninh- Hồ Chí Minh- Hà Nội,154
Quảng Ngãi,155
Bắc Ninh- Bắc Giang,156
Hải Dương- Hải Dương,157
Phú Thọ,158
Hà Nội- Cao Bằng- Thái Nguyên,159
Hà Nội- Hồ Chí Minh- ĐBSCL,160
Hà Nội- Hồ Chí Minh- Bà Rịa - Vũng Tàu,161
Hà Nội- Bắc Ninh- Bắc Giang,162
Bắc Giang,163
Hà Nội- Bắc Giang- Bắc Ninh,164
Hồ Chí Minh- Long An- Tiền Giang,165
Lạng Sơn,166
Bắc Ninh- Bắc Giang- Bắc Giang,167
Hồ Chí Minh- Đồng Nai- Bình Dương,168
Bắc Ninh- Hà Nội- Hưng Yên,169
Hải Dương- Hải Dương- Hải Dương,170
Đắk Lắk- Bến Tre,171
Hà Nội- Hà Nam- Hưng Yên,172
Hải Dương- Hải Dương- Hà Nội,173
Quốc tế- Hồ Chí Minh,174
Lâm Đồng- Đà Nẵng- Kiên Giang,175
Long An- Hồ Chí Minh- Đồng Nai,176
Hà Nội- Hồ Chí Minh- Quốc tế,177
Cần Thơ- An Giang- Đồng Tháp,178
Quảng Bình- Thừa Thiên Huế- Bình Định,179
Quảng Bình- Thừa Thiên Huế- Đà Nẵng,180
Quảng Nam- Bình Định- Phú Yên,181
Quảng Bình- Lâm Đồng,182
Bình Dương- Hồ Chí Minh,183
Quảng Ninh- Hải Phòng- Hải Dương,184
Hà Nội- Hưng Yên- Thái Nguyên,185
Đồng Nai- Bà Rịa - Vũng Tàu- Hồ Chí Minh,186
Đồng Nai- Đồng Nai,187
Quảng Nam- Đà Nẵng- Thừa Thiên Huế,188
Đà Nẵng- Long An,189
Kiên Giang- Hồ Chí Minh,190
Hà Nội- Thừa Thiên Huế- Hà Nam,191
Lào Cai,192
Ninh Bình- Bắc Ninh- Hà Nội,193
Đồng Nai- Hồ Chí Minh- Hà Nội,194
Gia Lai- Tây Ninh- Long An,195
Quảng Ninh- Hải Phòng- Hà Nội,196
Hà Nội- Hải Phòng- Quảng Ninh,197
Hưng Yên- Long An,198
Thái Bình,199
Hồ Chí Minh- Vĩnh Long- Thừa Thiên Huế,200
Hải Dương- Bắc Ninh- Hà Nội,201
Đồng Nai- Hồ Chí Minh- Long An,202
Hồ Chí Minh- Hà Nội- Vĩnh Long,203
Nghệ An- Hà Nội- Thái Nguyên,204
Hải Phòng- Hồ Chí Minh- Hà Nội,205
Hồ Chí Minh- Hải Phòng- Thanh Hóa,206
Hà Nam- Hà Nội- Hưng Yên,207
Hồ Chí Minh- Cần Thơ- Đà Nẵng,208
Hà Nội- Quốc tế,209
Bắc Ninh- Hải Dương- Bắc Giang,210
Thanh Hóa- Hà Nội,211
Cần Thơ- Hồ Chí Minh- Hà Nội,212
Hà Nội- Hải Phòng,213
Long An- Vĩnh Long- Tiền Giang,214
Quảng Ninh- Hải Phòng- Bắc Ninh,215
Đà Nẵng- Quảng Nam- Thừa Thiên Huế,216
Vĩnh Phúc- Hà Nội,217
Hà Nội- Bình Định,218
Quảng Ninh- Hà Nội- Hải Phòng,219
Cần Thơ- Bình Dương,220
Hồ Chí Minh- Bình Dương- Hưng Yên,221
Bắc Ninh- Bắc Giang- Hưng Yên,222
Hồ Chí Minh- Cần Thơ- Khánh Hòa,223
Hồ Chí Minh- Hồ Chí Minh- Hồ Chí Minh,224
Hà Nội- Hải Phòng- Thái Bình,225
Hà Nội- Hải Dương- Hà Nội,226
Hà Nội- Đà Nẵng- Hải Phòng,227
Hà Nội- Hà Nội- Đà Nẵng,228
Hồ Chí Minh- Lâm Đồng- Bình Thuận,229
Hậu Giang- Sóc Trăng,230
Hải Phòng- Bình Dương,231
Lạng Sơn- Quảng Ninh- Bắc Giang,232
Hà Nội- Bắc Ninh- Hưng Yên,233
Hà Nội- Hưng Yên- Bắc Ninh,234
Lạng Sơn- Hải Phòng,235
Hà Nội- Bắc Ninh- Hồ Chí Minh,236
Đồng Nai- Hồ Chí Minh- Bình Dương,237
Hà Tĩnh- Nghệ An- Hải Phòng,238
Bến Tre- Cần Thơ- Hồ Chí Minh,239
Bắc Giang- Hải Phòng- Quảng Ninh,240
Bình Phước- Hồ Chí Minh- Bình Dương,241
Bắc Ninh- Hà Nội- Hồ Chí Minh,242
Bắc Giang- Nam Định,243
Hà Nội- Hà Nam,244
Đắk Lắk,245
Bắc Ninh- Bắc Ninh,246
Thanh Hóa- Hồ Chí Minh- Hà Nội,247
Hà Nội- Đồng Nai- Cần Thơ,248
Hà Nội- Thái Nguyên- Hồ Chí Minh,249
Hải Phòng- Thái Nguyên,250
Hải Phòng- Hải Dương- Hà Tĩnh,251
Hà Nội- Hưng Yên- Hải Dương,252
Kiên Giang,253
Hồ Chí Minh- Hà Nội- Hồ Chí Minh,254
Hà Nội- Hà Nội- Hà Nội,255
Hải Phòng- Nghệ An,256
Nghệ An- Hà Nội- Thanh Hóa,257
Nam Định- Nam Định,258
Hà Nội- Hải Dương,259
Bắc Ninh- Bắc Giang- Hà Nội,260
Hà Nam- Bắc Ninh,261
Hải Phòng- Hải Phòng,262
Hà Nam- Hà Nam,263
Hà Nội- Bình Thuận- Hồ Chí Minh,264
Hà Nội- Yên Bái,265
Bắc Ninh- Hà Nội- Bắc Ninh,266
Bắc Ninh- Bình Dương- Hồ Chí Minh,267
Thái Nguyên- Hưng Yên,268
Nghệ An- Quảng Ninh- Thái Nguyên,269
Cần Thơ- Đắk Lắk- Đà Nẵng,270
Hà Nội- Thái Nguyên,271
Đà Nẵng- Cần Thơ- Đắk Lắk,272
Nghệ An- Hà Nội- Bà Rịa - Vũng Tàu,273
Hải Phòng- Hà Nội- Hưng Yên,274
Yên Bái- Kiên Giang- Đắk Lắk,275
Bình Dương- Bắc Giang- Bắc Ninh,276
Hồ Chí Minh- Hồ Chí Minh- Hà Nội,277
Hồ Chí Minh- Hải Phòng- Đồng Nai,278
Bình Dương- Hải Dương- Nghệ An,279
Đà Nẵng- Đà Nẵng,280
Hà Nội- Đắk Lắk- Bình Định,281
Hải Phòng- Hà Nam- Hà Nội,282
Bắc Giang- Bắc Giang- Bắc Ninh,283
Hà Nội- Hà Nội- Bắc Giang,284
Hà Nội- Bình Định- Đắk Lắk,285
Hà Nội- Bạc Liêu,286
Thừa Thiên Huế- Hồ Chí Minh,287
Hà Nội- Hải Phòng- Hải Dương,288
Nghệ An- Hà Nội,289
Quảng Trị- Hồ Chí Minh- Đà Nẵng,290
Hồ Chí Minh- Đà Nẵng- Bình Định,291
Kon Tum,292
Hòa Bình- Hà Nội,293
Đồng Nai- Bình Dương- Long An,294
Hà Nội- Khánh Hòa- Hồ Chí Minh,295
Hà Nội- Hồ Chí Minh- Cần Thơ,296
Hà Nội- Cần Thơ- Đà Nẵng,297
Bình Phước- Bình Dương,298
