jobId,city_id
1893966,1
1894032,1
1895446,2
1882744,3
1882744,4
1882744,5
1899887,6
1899887,7
1899887,1
1896648,6
1896164,1
1896759,2
1896705,1
1896705,8
1896705,2
1896733,1
1896609,7
1896675,2
1896675,1
1896757,2
1896757,1
1896776,1
1894673,1
1893398,2
1893357,2
1895334,2
1882153,1
1882153,2
1893994,6
1896140,2
1895235,1
1893308,2
1894036,1
1894004,9
1894004,2
1894004,10
1893761,11
1893836,12
1877427,2
1894038,2
1886112,2
1882159,2
1897950,2
1898595,1
1898613,2
1886118,2
1900810,13
1889373,1
1897363,2
1885040,2
1885040,2
1885040,1
1886127,2
1897427,2
1899431,2
1879218,2
1884349,1
1884861,2
1885759,2
1886879,7
1903352,2
1902882,14
1902882,15
1902882,16
1902890,1
1899757,2
1884197,2
1899404,1
1899432,2
1899425,1
1899345,2
1899890,2
1900723,2
1900722,2
1886137,2
1901124,12
1901124,2
1901124,10
1899161,12
1899161,2
1899161,17
1903019,2
1903191,1
1903298,10
1903404,18
1903404,19
1903411,2
1903414,1
1903420,1
1903540,19
1903543,2
1903544,2
1903550,2
1903551,2
1903553,19
1903554,19
1903569,2
1886085,2
1903466,18
1903319,2
1903367,1
1903367,2
1903367,8
1896555,12
1889925,20
1889925,21
1904455,2
1904939,1
1904946,2
1904940,2
1904950,1
1903477,7
1904938,17
1904943,12
1904949,1
1904925,1
1904935,22
1904857,2
1886284,2
1904856,2
1904937,2
1893071,1
1904923,1
1887303,12
1887303,2
1887303,23
1890732,2
1904906,1
1890767,2
1890767,16
1890767,6
1904883,1
1904898,2
1904910,2
1896677,2
1896686,7
1896548,2
1896572,24
1896154,2
1896562,8
1896562,25
1896562,7
1896568,24
1896579,24
1896583,24
1894591,1
1896646,2
1881297,2
1877669,2
1882061,2
1895264,1
1893404,2
1893342,2
1896362,26
1896362,1
1881757,2
1893935,7
1893097,2
1893396,2
1893400,2
1893406,2
1893403,2
1883917,1
1883917,18
1899070,2
1899147,2
1898447,2
1898447,12
1898520,2
1899150,2
1898479,1
1898512,23
1886101,2
1900484,2
1900484,1
1900484,8
1884210,2
1902914,1
1902917,1
1902926,1
1902912,1
1902919,1
1902921,1
1902802,7
1902802,27
1901113,2
1880105,1
1880111,1
1880118,1
